C[PPB],C_STDEV[PPB],VALVE_ID,DATE_TIME,TIME_NORM_GLOBAL[h],TREATMENT
54.83430591196666,20.602279805954126,1.0,2026-01-06 09:32:09.177,0.25254916666666666,PU
337.1047576526667,7.3153244976031475,2.0,2026-01-06 09:47:08.529,0.5023691666666666,FH2SO4
2078.778481936667,8.472516587971358,3.0,2026-01-06 10:02:08.928,0.7524799999999999,STD
169.34894335966666,1.5387276697902614,4.0,2026-01-06 10:17:07.108,1.0019744444444445,PH2SO4
125.88271302866669,2.144816235020717,5.0,2026-01-06 10:32:07.316,1.2520322222222222,PAA
39.411866959733324,0.2883793610618009,11.0,2026-01-06 11:02:08.196,1.7522766666666667,BACKGROUND
229.46696270666658,4.349932133145205,6.0,2026-01-06 11:17:08.071,2.0022419444444446,FAA
1192.6666011900002,12.048872102676041,7.0,2026-01-06 11:32:07.279,2.2520219444444445,FU
258.3555221766667,3.3465793739094103,8.0,2026-01-06 11:47:06.934,2.501926111111111,FH2SO4
402.3082029773334,4.64512192111383,9.0,2026-01-06 12:02:06.134,2.7517038888888887,PU
233.41356676066667,2.8300916787669848,10.0,2026-01-06 12:17:06.463,3.0017952777777777,FAA
40.9118056196,0.31293606304068944,12.0,2026-01-06 12:47:05.336,3.501482222222222,BACKGROUND
1178.3834437966666,9.063597366441495,17.0,2026-01-06 13:02:05.688,3.75158,FH2SO4
1818.1726778466664,3.090805563917916,18.0,2026-01-06 13:17:05.842,4.0016227777777775,FU
282.707677153,8.655027821890485,19.0,2026-01-06 13:32:06.786,4.251885,PAA
3602.704787976666,12.456213293012521,20.0,2026-01-06 13:47:05.082,4.501411666666667,STD
822.8547768593334,1.0674829722891077,21.0,2026-01-06 14:02:03.967,4.751101944444445,PH2SO4
52.27723034023333,0.4124139585091978,27.0,2026-01-06 14:32:03.497,5.250971388888889,BACKGROUND
535.5788890719999,3.342347674716252,22.0,2026-01-06 14:47:05.562,5.501545,FAA
2386.3723080766667,1.2495028189859239,23.0,2026-01-06 15:02:04.888,5.751357777777778,FU
1832.2816882699997,2.1182512420651776,24.0,2026-01-06 15:17:03.451,6.000958611111112,PU
655.8660350456668,1.0134237277734421,25.0,2026-01-06 15:32:04.473,6.251242500000001,PH2SO4
174.8824513733333,1.3558385075831723,26.0,2026-01-06 15:47:02.676,6.500743333333333,PAA
39.00105215926667,0.29792414887113194,28.0,2026-01-06 16:17:03.661,7.001016944444444,BACKGROUND
175.04878757200004,0.9240779527031818,1.0,2026-01-06 16:32:04.444,7.251234444444444,PU
175.34821771133335,1.3150240457031719,2.0,2026-01-06 16:47:05.272,7.501464444444444,FH2SO4
461.9014643103334,0.6483350261396329,3.0,2026-01-06 17:02:03.457,7.750960277777778,STD
324.871491873,0.39236344946956914,4.0,2026-01-06 17:17:05.075,8.001409722222222,PH2SO4
152.00179853366666,0.4071249750092651,5.0,2026-01-06 17:32:02.023,8.250561944444446,PAA
43.292316373199995,0.26827749737554,11.0,2026-01-06 18:02:02.642,8.750733888888888,BACKGROUND
57.97535029130001,1.8156037359170842,6.0,2026-01-06 18:17:03.312,9.00092,FAA
697.5675053176666,2.3729326821878067,7.0,2026-01-06 18:32:01.960,9.250544444444444,FU
210.5730433793333,0.7830806631934001,8.0,2026-01-06 18:47:02.585,9.500718055555556,FH2SO4
267.02759295833334,0.6221273212004113,9.0,2026-01-06 19:02:03.048,9.750846666666668,PU
168.7965565776667,0.3753739857669473,10.0,2026-01-06 19:17:02.892,10.000803333333334,FAA
40.79251054396666,0.2661593377704955,12.0,2026-01-06 19:47:01.832,10.50050888888889,BACKGROUND
331.90124119700005,0.8210619362304256,17.0,2026-01-06 20:02:01.392,10.750386666666667,FH2SO4
652.2042231626667,0.3933707433706337,18.0,2026-01-06 20:17:02.930,11.000813888888889,FU
102.04028552566665,0.8290152317942582,19.0,2026-01-06 20:32:01.368,11.25038,PAA
