C[PPB],C_STDEV[PPB],VALVE_ID,DATE_TIME,TIME_NORM_GLOBAL[h],TIME_NORM_LOCAL[h],TREATMENT
27.062695368099998,0.19922484136899632,15.0,2025-11-01 13:40:24.780,99.0538936111111,96.4124986111111,RAW
15.716334502933332,0.2050052251699578,16.0,2025-11-01 13:48:25.253,99.18735833333334,96.4126488888889,BACKGROUND
46.79944213906667,0.16235778057424938,17.0,2025-11-01 13:56:24.046,99.32035638888888,98.01147027777778,AA
39.14757732143334,0.1843788270344018,4.0,2025-11-01 14:12:23.826,99.58696194444445,99.58696194444445,AA
14.859186519033335,0.23947664528571255,5.0,2025-11-01 14:20:24.408,99.72045694444445,99.18765194444445,BACKGROUND
27.795196664133336,0.2200485286911255,8.0,2025-11-01 14:28:23.640,99.85357694444444,98.92087805555556,H2SO4
12.502427201600002,0.2560518874688697,9.0,2025-11-01 14:36:23.184,99.98678361111111,98.92082722222223,BACKGROUND
22.064856282400005,0.18687452107526484,11.0,2025-11-01 14:52:23.138,100.2534375,98.14510222222222,RAW
32.737354060433326,0.23692409122223296,12.0,2025-11-01 15:00:23.588,100.38689583333334,98.14527305555556,H2SO4
23.50582549283333,0.23795114893399436,13.0,2025-11-01 15:08:23.069,100.520085,98.14498361111112,RAW
38.636806566933316,0.19208365196419844,14.0,2025-11-01 15:16:22.663,100.65330555555556,98.14491666666667,AA
23.9272476848,0.21835967867800096,15.0,2025-11-01 15:24:22.257,100.78652611111112,98.14513111111111,RAW
14.7022655278,0.20173325821948543,16.0,2025-11-01 15:32:21.818,100.9197375,98.14502805555556,BACKGROUND
35.5012395325,0.23165831919182264,17.0,2025-11-01 15:40:21.408,101.05295694444445,99.74407083333334,AA
28.876612554733335,0.2305811562752937,4.0,2025-11-01 15:56:20.535,101.31938111111111,101.31938111111111,AA
13.055129762000004,0.15548996407968035,5.0,2025-11-01 16:04:19.996,101.45256472222222,100.91975972222222,BACKGROUND
20.864247045933332,0.22779136036369377,8.0,2025-11-01 16:12:20.592,101.58606361111111,100.65336472222222,H2SO4
11.1464078297,0.27360775546340443,9.0,2025-11-01 16:20:19.989,101.71922944444445,100.65327305555556,BACKGROUND
17.67856422816667,0.1986160873005216,11.0,2025-11-01 16:36:19.575,101.98578111111111,99.87744583333333,RAW
25.776756133366675,0.1918908087140242,12.0,2025-11-01 16:44:19.967,102.11922333333334,99.87760055555556,H2SO4
19.334687692233334,0.17786834228761494,13.0,2025-11-01 16:52:19.463,102.25241666666668,99.87731527777778,RAW
31.003705973866666,0.2337565708674798,14.0,2025-11-01 17:00:19.522,102.3857663888889,99.87737750000001,AA
