DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                DasTemp                   EtalonTemp                WarmBoxTemp               species                   MPVPosition               OutletValve               solenoid_valves           NH3                       NH3_30s                   NH3_5min                  H2O                       CO2                       NH3_raw                   NH3_dry                   nh3_base_11               
2023-04-12                12:05:11.196              101.50360181              2436.086443               102.50360181              1681301111.196            0                         899                       1.4488061142E+02          4.4998832703E+01          2.8476562500E+01          4.5188743591E+01          4.5008537292E+01          2.0000000000E+00          1.0000000000E+00          4.1205669922E+04          1.0000000000E+00          9.0927515723E+01          1.2765920457E+02          3.2214049291E+02          7.7525364824E-01          2.1130744353E+02          9.0927515723E+01          9.0927515723E+01          7.0557902500E+02          
2023-04-12                12:05:12.489              101.50361677              2436.086803               102.50361677              1681301112.489            65536                     771                       1.5002239352E+02          4.4998832703E+01          2.8437500000E+01          4.5188743591E+01          4.5008537292E+01          2.0000000000E+00          1.0000000000E+00          4.3012655953E+04          1.0000000000E+00          8.4640032924E+01          1.2425788709E+02          3.2179198155E+02          8.0073260241E-01          2.6527476053E+02          8.4640032924E+01          8.4640032924E+01          7.0520768821E+02          
2023-04-12                12:05:13.471              101.50362815              2436.087076               102.50362815              1681301113.472            65536                     771                       1.4104771714E+02          4.4998832703E+01          2.8437500000E+01          4.5188743591E+01          4.5008537292E+01          2.0000000000E+00          1.0000000000E+00          4.2859770296E+04          1.0000000000E+00          9.0788781267E+01          1.1952528920E+02          3.2184181412E+02          6.4147911689E-01          2.6871913369E+02          9.0788781267E+01          9.0788781267E+01          7.0523896068E+02          
2023-04-12                12:05:14.424              101.50363917              2436.087340               102.50363917              1681301114.424            65536                     771                       1.3794093837E+02          4.4999250661E+01          2.8437500000E+01          4.5188604272E+01          4.5008397973E+01          2.0000000000E+00          1.0000000000E+00          4.2439026962E+04          1.0000000000E+00          1.2467316969E+02          1.1803522452E+02          3.2161429155E+02          6.6656862081E-01          2.7699783116E+02          1.2467316969E+02          1.2467316969E+02          7.0369902578E+02          
2023-04-12                12:05:15.336              101.50364973              2436.087594               102.50364973              1681301115.337            65536                     771                       1.3728463745E+02          4.5000663757E+01          2.8437500000E+01          4.5188133240E+01          4.5007926941E+01          2.0000000000E+00          1.0000000000E+00          4.2259980469E+04          1.0000000000E+00          9.0778776840E+02          1.4049321131E+02          3.2380206360E+02          6.7657584093E-01          2.2416963370E+02          9.0778776840E+02          9.0778776840E+02          7.0872278990E+02          
2023-04-12                12:05:17.137              101.50367057              2436.088094               102.50367057              1681301117.137            65536                     771                       1.3666848531E+02          4.5000663757E+01          2.8437500000E+01          4.5188133240E+01          4.5007926941E+01          2.0000000000E+00          1.0000000000E+00          4.1054365001E+04          1.0000000000E+00          2.6720378911E+03          2.1660744426E+02          3.3143331635E+02          7.1674577480E-01          -2.3914454601E+01         2.6720378911E+03          2.6720378911E+03          7.2250848362E+02          
2023-04-12                12:05:18.040              101.50368103              2436.088345               102.50368103              1681301118.041            65536                     771                       1.3696718407E+02          4.5000663757E+01          2.8437500000E+01          4.5188133240E+01          4.5007926941E+01          2.0000000000E+00          1.0000000000E+00          4.0833706543E+04          1.0000000000E+00          2.5262923349E+03          2.9279363919E+02          3.3904556884E+02          7.2655374934E-01          1.6207584468E+02          2.5262923349E+03          2.5262923349E+03          7.1609921826E+02          
2023-04-12                12:05:18.940              101.50369145              2436.088595               102.50369145              1681301118.941            65536                     771                       1.3741421907E+02          4.5000713514E+01          2.8437500000E+01          4.5188105044E+01          4.5007882160E+01          2.0000000000E+00          1.0000000000E+00          4.0595265285E+04          1.0000000000E+00          2.6041970359E+03          3.6961475046E+02          3.4649107939E+02          7.4207859247E-01          5.2941556957E+01          2.6041970359E+03          2.6041970359E+03          7.2033348547E+02          
2023-04-12                12:05:19.839              101.50370185              2436.088844               102.50370185              1681301119.840            65536                     771                       1.3813484192E+02          4.5001579285E+01          2.8437500000E+01          4.5187614441E+01          4.5007102966E+01          2.0000000000E+00          1.0000000000E+00          4.0325593750E+04          1.0000000000E+00          2.9192089200E+03          4.5641253088E+02          3.5491405219E+02          7.6422890543E-01          1.5103366084E+02          2.9192089200E+03          2.9192089200E+03          7.1770431284E+02          
