"scenario", "treatment", "ctime", "air.temp", "TAN.app", "man.dm", "man.ph", "app.mthd", "rain.cum", "app.rate.ni", "j"                , "er"                 , "shift"
         1, "AA"       ,      37,      8.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.123115616448054  , 0.265274397723745    ,    0
         1, "AA"       ,      38,      8.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.117884029209218  , 0.267175753033571    ,    0
         1, "AA"       ,      39,      8.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.113027631928215  , 0.268998779354994    ,    0
         1, "AA"       ,      40,      8.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.108513167274232  , 0.270748991730384    ,    0
         1, "AA"       ,      41,      8.7  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.104310482170913  , 0.272431418862173    ,    0
         1, "AA"       ,      42,      8.5  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0999575605719478 , 0.274043637581076    ,    0
         1, "AA"       ,      43,      8.6  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0965486656951136 , 0.275600874124545    ,    0
         1, "AA"       ,      44,      8    ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0921073689308329 , 0.277086476849236    ,    0
         1, "AA"       ,      45,      8.1  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0892049346796746 , 0.278525266118263    ,    0
         1, "AA"       ,      46,      8    ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0861707879651235 , 0.279915117537055    ,    0
         1, "AA"       ,      47,      7.4  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.082722197009609  , 0.281249346521081    ,    0
         1, "AA"       ,      48,      8.1  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0810420316360627 , 0.282556476063599    ,    0
         1, "AA"       ,      49,     10.1  ,      62  ,     7.23,     6.26, "bc"      ,          0,            29, 0.0809005008355932 , 0.283861322851269    ,    0
