"scenario","treatment","ctime","air.temp","TAN.app","man.dm","man.ph","app.mthd","rain.cum","app.rate.ni","j","er","shift"
1,"AA",0,8.1,62,7.23,6.26,"ts",0,29,-Inf,-4.54228882116954e-18,0
1,"AA",1,8.2,62,7.23,6.26,"ts",0,29,0.260057930492755,0.00419448274988314,0
1,"AA",2,7.7,62,7.23,6.26,"ts",0,29,0.244869856715419,0.00814399656787377,0
1,"AA",3,7.8,62,7.23,6.26,"ts",0,29,0.24033878566812,0.0120204285947789,0
1,"AA",4,8.4,62,7.23,6.26,"ts",0,29,0.243092620531372,0.0159412773130269,0
1,"AA",5,6.8,62,7.23,6.26,"ts",0,29,0.216063988418083,0.0194261803520282,0
1,"AA",6,6.1,62,7.23,6.26,"ts",0,29,0.203860270034958,0.0227142492235598,0
1,"AA",7,6,62,7.23,6.26,"ts",0,29,0.198967730358101,0.0259234061648195,0
1,"AA",8,6.5,62,7.23,6.26,"ts",0,29,0.199831438612052,0.0291464938843687,0
1,"AA",9,6.7,62,7.23,6.26,"ts",0,29,0.197579595878657,0.0323332615598309,0
1,"AA",10,6.6,62,7.23,6.26,"ts",0,29,0.192687633945818,0.0354411266234731,0
1,"AA",11,6.5,62,7.23,6.26,"ts",0,29,0.188022437775377,0.0384737465875921,0
1,"AA",12,6.7,62,7.23,6.26,"ts",0,29,0.185704917793935,0.0414689871971717,0
1,"AA",13,6.9,62,7.23,6.26,"ts",0,29,0.183293326466626,0.0444253311724399,0
1,"AA",14,6.2,62,7.23,6.26,"ts",0,29,0.175194502672239,0.047251048957476,0
1,"AA",15,6.3,62,7.23,6.26,"ts",0,29,0.172390212096521,0.0500315362493554,0
1,"AA",16,6.3,62,7.23,6.26,"ts",0,29,0.169054393159728,0.0527582200099961,0
1,"AA",17,5.4,62,7.23,6.26,"ts",0,29,0.161569968354257,0.0553641872415164,0
1,"AA",18,5.8,62,7.23,6.26,"ts",0,29,0.160388394441825,0.0579510968292878,0
1,"AA",19,7.2,62,7.23,6.26,"ts",0,29,0.163442046116043,0.0605872588634175,0
1,"AA",20,7.6,62,7.23,6.26,"ts",0,29,0.161816861104427,0.0631972082360695,0
1,"AA",21,8,62,7.23,6.26,"ts",0,29,0.160084326250817,0.0657792134981795,0
1,"AA",22,8.6,62,7.23,6.26,"ts",0,29,0.159080532451881,0.068345028537726,0
1,"AA",23,9.5,62,7.23,6.26,"ts",0,29,0.159179035732764,0.0709124323398673,0
1,"AA",24,10.4,62,7.23,6.26,"ts",0,29,0.159128861238568,0.0734790268759733,0
