C[PPB],C_STDEV[PPB],VALVE_ID,DATE_TIME,TIME_NORM_GLOBAL[h],TIME_NORM_LOCAL[h],TREATMENT,T[degc],P_ATMOS[hpa],P_DROP[pa],F[mg/h m2],F_STDEV[mg/h m2]
9.222025501056669,0.1799916807682707,4.0,2025-10-28 10:37:10.763,0.0,0.0,AA,8.1,984.5,131.2,1.7473578993569554,0.03410420901275282
8.422758780986667,0.1900853486747653,5.0,2025-10-28 10:45:10.421,0.1332383333333333,0.0,BACKGROUND,8.1,984.5,131.2,1.5959155706790076,0.036016722738493254
8.372180955013333,0.1946131795452324,4.0,2025-10-28 11:01:10.217,0.3998483333333333,0.3998483333333333,AA,8.1,984.5,131.2,1.5863322569333798,0.03687464066959813
14.736750133033333,0.2633511914761184,5.0,2025-10-28 11:09:08.861,0.532805,0.3995666666666667,BACKGROUND,8.1,984.5,131.2,2.7922690902182987,0.04989888443467599
17.390194729100003,0.1806607275120575,8.0,2025-10-28 11:33:08.479,0.9326988888888889,0.0,H2SO4,8.2,984.2,131.2,3.292859842785956,0.034208383750728565
17.306859617066664,0.2712078466141692,9.0,2025-10-28 11:41:08.206,1.065956388888889,0.0,BACKGROUND,8.2,984.2,131.2,3.277080212472244,0.0513536185808121
,,17.0,2025-10-28 11:55:43.660,1.3091380555555556,0.0,AA,8.2,984.2,129.5,,
,,18.0,2025-10-28 12:03:42.755,1.44222,0.0,H2SO4,8.2,984.2,125.6,,
16.877803389833332,0.5631359933258852,4.0,2025-10-28 12:11:42.380,1.5754491666666668,1.5754491666666668,AA,8.2,984.2,131.2,3.1958377627491408,0.10663065752491169
15.019805683166668,0.5349832636032276,5.0,2025-10-28 12:19:42.407,1.70879,1.575551666666667,BACKGROUND,8.2,984.2,131.2,2.8440230688036356,0.10129989529868888
15.664790003000004,0.3166439351650968,8.0,2025-10-28 12:27:42.187,1.8420622222222225,0.9093633333333332,H2SO4,8.2,984.2,131.2,2.966151831539792,0.05995701110937635
14.72377615326667,0.4073874117810999,9.0,2025-10-28 12:35:41.905,1.9753172222222224,0.9093608333333334,BACKGROUND,7.7,984.1,131.2,2.792649098965923,0.07726890687536946
,,11.0,2025-10-28 12:43:41.677,2.108587222222222,0.0,RAW,7.7,984.1,127.3,,
,,12.0,2025-10-28 12:51:40.605,2.2416227777777777,0.0,H2SO4,7.7,984.1,129.5,,
,,13.0,2025-10-28 12:59:41.128,2.375101388888889,0.0,RAW,7.7,984.1,127.3,,
,,14.0,2025-10-28 13:07:40.963,2.508388888888889,0.0,AA,7.7,984.1,131.6,,
,,15.0,2025-10-28 13:15:39.785,2.641395,0.0,RAW,7.7,984.1,131.3,,
,,16.0,2025-10-28 13:23:40.631,2.774963333333333,0.0,BACKGROUND,7.7,984.1,131.3,,
,,17.0,2025-10-28 13:31:39.707,2.90804,1.5989019444444443,AA,7.8,984.1,129.5,,
,,18.0,2025-10-28 13:39:39.608,3.041345833333333,1.5991258333333334,H2SO4,7.8,984.1,125.6,,
15.9820414316,0.2002476585553462,4.0,2025-10-28 13:47:39.348,3.174606944444444,3.174606944444444,AA,7.8,984.1,131.2,3.0302245127393914,0.037967325148670336
14.861095444533332,0.3540184848403843,5.0,2025-10-28 13:55:38.971,3.307835555555556,3.174597222222222,BACKGROUND,7.8,984.1,131.2,2.8176910875193677,0.06712255723509251
16.34200931346667,0.3866694901558575,8.0,2025-10-28 14:03:38.921,3.441155,2.5084561111111108,H2SO4,7.8,984.1,131.2,3.0984750866163013,0.07331324802362378
14.1640001882,0.2976966062750787,9.0,2025-10-28 14:11:39.003,3.574511111111111,2.508554722222222,BACKGROUND,7.8,984.1,131.2,2.6855205420670814,0.05644382524941063
,,11.0,2025-10-28 14:18:49.588,3.694118055555556,1.5855308333333331,RAW,7.8,984.1,127.3,,
8.482974308153333,0.2295540211212098,4.0,2025-10-28 14:27:00.210,3.8304019444444446,3.8304019444444446,AA,7.8,984.1,131.2,1.6083875642244085,0.04352386550719558
6.823546256206666,0.1847423590708652,5.0,2025-10-28 14:34:59.066,3.9634175,3.830179166666667,BACKGROUND,8.4,984.3,131.2,1.2912622447426365,0.034959949609180245
12.24841742526667,0.2365002834274714,8.0,2025-10-28 14:42:59.391,4.096841111111111,3.1641422222222224,H2SO4,8.4,984.3,131.2,2.317844473422977,0.04475442466342933
6.505208125740001,0.2306619166297396,9.0,2025-10-28 14:50:58.680,4.229976944444444,3.164020555555556,BACKGROUND,8.4,984.3,131.2,1.2310211335228418,0.04364959407625294
,,11.0,2025-10-28 14:58:58.599,4.363287777777778,2.2547005555555555,RAW,8.4,984.3,127.3,,
,,12.0,2025-10-28 15:06:58.369,4.496557222222222,2.2549344444444444,H2SO4,8.4,984.3,129.5,,
,,13.0,2025-10-28 15:14:58.309,4.629873888888889,2.2547725,RAW,8.4,984.3,127.3,,
,,14.0,2025-10-28 15:22:57.698,4.7630375,2.254648611111111,AA,8.4,984.3,131.6,,
,,15.0,2025-10-28 15:30:57.128,4.896212500000001,2.2548175,RAW,6.8,984.4,131.3,,
,,16.0,2025-10-28 15:38:57.328,5.029601388888889,2.254638055555556,BACKGROUND,6.8,984.4,131.3,,
,,17.0,2025-10-28 15:46:57.072,5.162863611111112,3.853725555555556,AA,6.8,984.4,129.5,,
,,18.0,2025-10-28 15:54:57.703,5.296372222222222,3.8541522222222224,H2SO4,6.8,984.4,125.6,,
7.419272024573333,0.2152963365966197,4.0,2025-10-28 16:02:56.482,5.429366388888889,5.429366388888889,AA,6.8,984.4,131.2,1.4121628663999255,0.04097888455992688
5.470025655170001,0.2389896394302785,5.0,2025-10-28 16:10:56.078,5.562587499999999,5.429349166666666,BACKGROUND,6.8,984.4,131.2,1.0411489271321361,0.04548859957418197
10.001545558673335,0.2299530771814957,8.0,2025-10-28 16:18:56.542,5.696049722222222,4.763350833333333,H2SO4,6.8,984.4,131.2,1.9036653728002122,0.043768606345011174
,,13.0,2025-10-28 16:28:46.405,5.859900555555556,3.484799166666667,RAW,6.8,984.4,127.3,,
4.764577180846668,0.2149852013787436,4.0,2025-10-28 16:39:20.621,6.0360716666666665,6.0360716666666665,AA,6.1,984.5,131.2,0.9092415310775497,0.04102640512287564
6.096618970486666,0.2385655003595154,5.0,2025-10-28 16:47:19.092,6.168980277777778,6.035741944444444,BACKGROUND,6.1,984.5,131.2,1.1634398933457266,0.045526319036482014
10.157293986383332,0.2524087687191478,8.0,2025-10-28 16:55:19.237,6.302353888888889,5.369655000000001,H2SO4,6.1,984.5,131.2,1.9383532232219665,0.04816808010796346
6.306880587389999,0.171270411452865,9.0,2025-10-28 17:03:18.950,6.435607500000001,5.369651111111111,BACKGROUND,6.1,984.5,131.2,1.2035648797240681,0.03268415333131664
89.82234808473336,1.7143654702652382,11.0,2025-10-28 17:19:20.069,6.702585,4.593997777777778,RAW,6.1,984.5,127.3,16.884437096482365,0.32225939936204634
25.8114763692,0.2050701339338604,12.0,2025-10-28 17:27:19.421,6.8357383333333335,4.594115555555555,H2SO4,6.1,984.5,129.5,4.8936816197488895,0.03887991259535534
163.82529150833335,1.1364397936608237,13.0,2025-10-28 17:35:18.789,6.968896111111111,4.593794722222222,RAW,6.0,984.9,127.3,30.81875557730244,0.21378664983099624
26.798701128366663,0.259189842779965,14.0,2025-10-28 17:43:17.941,7.101993888888889,4.593605,AA,6.0,984.9,131.6,5.125799768786037,0.04957535926198104
118.09371252233332,1.6752639872439452,15.0,2025-10-28 17:51:18.089,7.235368333333334,4.5939733333333335,RAW,6.0,984.9,131.3,22.562077467510825,0.32006306729988604
21.460335652833336,0.3170910177397915,16.0,2025-10-28 17:59:17.605,7.3685672222222225,4.593603888888889,BACKGROUND,6.0,984.9,131.3,4.100046862244614,0.06058097381894105
17.257845314233332,0.1893628595293365,17.0,2025-10-28 18:07:17.497,7.501870555555556,6.1927325,AA,6.0,984.9,129.5,3.2744729222003524,0.035929372682918105
27.223617339066667,0.2533961186848335,18.0,2025-10-28 18:15:16.563,7.634944444444444,6.192724444444445,H2SO4,6.0,984.9,125.6,5.086986657473061,0.04734942674041425
17.482108954766666,0.2151821901029333,4.0,2025-10-28 18:23:17.582,7.768560833333333,7.768560833333333,AA,6.0,984.9,131.2,3.338725294062902,0.04109539774562652
9.866602982173331,0.1858788439393575,5.0,2025-10-28 18:31:16.624,7.901628055555555,7.7683897222222225,BACKGROUND,6.5,985.3,131.2,1.8817142413744705,0.035449978928195104
17.807007622233332,0.2266775877523253,8.0,2025-10-28 18:39:16.921,8.03504388888889,7.102345,H2SO4,6.5,985.3,131.2,3.3960725793427446,0.043230932251416734
9.51546985448,0.1757929348800627,9.0,2025-10-28 18:47:16.762,8.168333055555555,7.102376666666667,BACKGROUND,6.5,985.3,131.2,1.8147477070776414,0.033526439615994844
136.80519927633333,0.7650920963962635,11.0,2025-10-28 19:03:16.759,8.434998888888888,6.326411666666666,RAW,6.5,985.3,127.3,25.70016466714422,0.14372986528967513
40.76620224423334,0.2219388027845815,12.0,2025-10-28 19:11:15.835,8.568075555555556,6.326452777777778,H2SO4,6.5,985.3,129.5,7.724212978813387,0.042052055050417876
167.762977519,0.4639083318753345,13.0,2025-10-28 19:19:15.759,8.701387777777777,6.32628638888889,RAW,6.5,985.3,127.3,31.5158792947615,0.08714961553159936
38.141384383133335,0.1913716751336203,14.0,2025-10-28 19:27:14.135,8.83427,6.32588111111111,AA,6.5,985.3,131.6,7.285233868488069,0.03655314120609833
150.9233877253333,0.9364881561166004,15.0,2025-10-28 19:35:14.894,8.967814166666667,6.326419166666667,RAW,6.7,985.6,131.3,28.782580878427456,0.1785975421130239
23.32332919686667,0.2504552797433341,16.0,2025-10-28 19:43:14.174,9.1009475,6.325984166666667,BACKGROUND,6.7,985.6,131.3,4.447989268467243,0.04776429587414874
19.78926358223334,0.2244563759155146,17.0,2025-10-28 19:51:13.696,9.234148055555554,7.92501,AA,6.7,985.6,129.5,3.7480497152829804,0.04251162011904697
34.10562987386667,0.3136638465631402,18.0,2025-10-28 19:59:13.868,9.367529166666667,7.925309166666667,H2SO4,6.7,985.6,125.6,6.361532055098278,0.058505959919708146
22.346878809566665,0.2610870966251687,4.0,2025-10-28 20:07:14.068,9.500918055555555,9.500918055555555,AA,6.7,985.6,131.2,4.260147311610165,0.04977292364908048
11.128155722466666,0.2315652541467351,5.0,2025-10-28 20:15:14.042,9.634244166666669,9.501005833333332,BACKGROUND,6.7,985.6,131.2,2.1214408995653806,0.044144961062446815
20.925976435966668,0.3190076423669591,8.0,2025-10-28 20:23:14.036,9.767575833333334,8.834876944444444,H2SO4,6.7,985.6,131.2,3.989270403987561,0.060814736661609484
10.970796833599998,0.2126116803037386,9.0,2025-10-28 20:31:12.930,9.900601944444444,8.834645555555555,BACKGROUND,6.6,985.8,131.2,2.0926145980011905,0.04055442030851734
132.06474225033332,0.5917420264798275,11.0,2025-10-28 20:47:12.230,10.167074166666666,8.058486944444445,RAW,6.6,985.8,127.3,24.81334137634718,0.11118105150232381
39.8761598549,0.2242678451976215,12.0,2025-10-28 20:55:12.336,10.300436944444444,8.058814166666666,H2SO4,6.6,985.8,129.5,7.556703340753355,0.04249971865884609
156.10899514633334,0.3721201364389804,13.0,2025-10-28 21:03:11.621,10.433571666666667,8.058470277777777,RAW,6.6,985.8,127.3,29.33096087933884,0.06991679854242099
41.20571536343333,0.1952239942495496,14.0,2025-10-28 21:11:11.572,10.56689138888889,8.0585025,AA,6.6,985.8,131.6,7.871718654793018,0.0372945438234309
145.10655489566668,0.4108051277068678,15.0,2025-10-28 21:19:11.381,10.700171666666668,8.058776666666667,RAW,6.6,985.8,131.3,27.688763056908126,0.07838850458421315
22.892179648866662,0.2862043670390707,16.0,2025-10-28 21:27:11.668,10.833584722222222,8.05862138888889,BACKGROUND,6.6,985.8,131.3,4.3682116125587385,0.054612590799189654
19.39267391116667,0.2127948869256,17.0,2025-10-28 21:35:10.326,10.966545277777778,9.657407222222222,AA,6.5,986.0,129.5,3.6770548845483377,0.04034814806668482
32.56793161033333,0.2203401545825618,18.0,2025-10-28 21:43:10.549,11.099940555555555,9.657720555555557,H2SO4,6.5,986.0,125.6,6.081525475567887,0.04114489920383069
21.3383095119,0.2009875262700995,4.0,2025-10-28 21:51:10.882,11.23336638888889,11.23336638888889,AA,6.5,986.0,131.2,4.072437810977436,0.03835867133995342
10.882144060433337,0.205498743785513,5.0,2025-10-28 21:59:10.085,11.366478333333331,11.23324,BACKGROUND,6.5,986.0,131.2,2.076868128259997,0.03921964173561987
19.240929084533327,0.1692260115058558,8.0,2025-10-28 22:07:10.220,11.499849166666667,10.567150277777776,H2SO4,6.5,986.0,131.2,3.672150648976686,0.03229695433337942
10.425246677573334,0.1913009218858787,9.0,2025-10-28 22:15:09.697,11.633037222222224,10.567080833333334,BACKGROUND,6.5,986.0,131.2,1.989668803652861,0.03650997316017113
115.29361131866668,0.6227447763784498,11.0,2025-10-28 22:31:08.355,11.89933111111111,9.790743888888889,RAW,6.7,986.4,127.3,21.667691265301293,0.1170354662094159
35.79069052933334,0.1847293702453491,12.0,2025-10-28 22:39:08.865,12.03280611111111,9.791183333333334,H2SO4,6.7,986.4,129.5,6.784192400705167,0.035015797998600176
138.73071383766668,0.3580426277759618,13.0,2025-10-28 22:47:08.970,12.166168611111113,9.79106722222222,RAW,6.7,986.4,127.3,26.07234036707409,0.06728869908519097
38.71444764543333,0.2336481000763603,14.0,2025-10-28 22:55:08.963,12.299499999999998,9.79111111111111,AA,6.7,986.4,131.6,7.397657262557145,0.0446460861392775
136.69853933333334,0.5316812461674922,15.0,2025-10-28 23:03:07.200,12.432343611111111,9.790948611111112,RAW,6.7,986.4,131.3,26.0909222962473,0.10147916830553383
