VALVE_ID,TREATMENT,time_since_slurry_aplication[h],flux [mg/m2 h],DATE_TIME,time_since_start_of_experiment,accumulated_emission [mg/m2],%relative_flux,%_relative_accumulated_emissions
4.0,AA,6.172585,-0.13069679776154242,2025-10-28 16:47:32.069000000,6.172585,0.0,-0.002119292974891234,0.0
4.0,AA,6.672585,0.3056471762855434,2025-10-28 17:17:32.069000000,6.672585,0.04373759463100024,0.004956172795290147,0.0007092199550997283
4.0,AA,7.172585,0.7419911503326292,2025-10-28 17:47:32.069000000,7.172585,0.3056471762855434,0.01203163856547153,0.004956172795290147
4.0,AA,7.672585,1.178335124379715,2025-10-28 18:17:32.069000000,7.672585,0.7857287449636294,0.01910710433565291,0.012740858520571259
4.0,AA,8.172585,1.4178273391611578,2025-10-28 18:47:32.069000000,8.172585,1.4347693608488477,0.022990551956561665,0.023265272593624903
4.0,AA,8.672585,1.610557470885722,2025-10-28 19:17:32.069000000,8.672585,2.1918655633605675,0.026115736515091973,0.03554184471153831
4.0,AA,9.172585,1.8032876026102862,2025-10-28 19:47:32.069000000,9.172585,3.0453268317345694,0.029240921073622285,0.04938100910871687
4.0,AA,9.672585,1.9165418486778485,2025-10-28 20:17:32.069000000,9.672585,3.975284194556603,0.031077377147362552,0.06446058366396308
4.0,AA,10.172585,1.8777891928622572,2025-10-28 20:47:32.069000000,10.172585,4.923866954941629,0.030448989668595057,0.07984217536795248
4.0,AA,10.672585,1.8390365370466661,2025-10-28 21:17:32.069000000,10.672585,5.85307338741886,0.02982060218982757,0.09490957333255813
4.0,AA,11.172585,1.8002838812310749,2025-10-28 21:47:32.069000000,11.172585,6.762903491988295,0.029192214711060073,0.10966277755778003
4.0,AA,11.672585,1.9268612437556687,2025-10-28 22:17:32.069000000,11.672585,7.694689773234981,0.031244709644165213,0.12477200864658637
4.0,AA,12.172585,2.0763178465618175,2025-10-28 22:47:32.069000000,12.172585,8.695484545814352,0.03366819923077376,0.14100023586532112
