TREATMENT,time_since_slurry_aplication[h],flux [mg/m2 h],flux_std_dev[mg/m2 h],accumulated_emission [mg/m2],accumulated_emission_std_dev[mg/m2],relative_flux,relative_flux_std_dev,%_relative_accumulated_emissions,%_relative_accumulated_emisssions_std_dev,DATE_TIME,time_since_start_of_experiment
AA,6.165368333333333,0.3006740197206262,1.110607788188369,0.0,0.0,0.0055981012794754465,0.020677858651803556,0.0,0.0,2025-10-28 16:47:06.088999998,6.165368333333333
AA,6.168896111111112,0.3016845536209088,1.1100133814737,0.0010624935946442358,0.003916927931205873,0.005616915911765198,0.02066679168634705,1.978204421232984e-05,7.292734930563905e-05,2025-10-28 16:47:18.788999999,6.168896111111112
AA,6.172585,0.30296117168677567,1.109716695525713,0.002177729043544864,0.008011093440512457,0.0056406846339001225,0.020661267837008244,4.0546062996553044e-05,0.00014915459766360933,2025-10-28 16:47:32.069000000,6.172585
AA,7.897814166666667,1.409270378556086,1.86130277826037,1.4791736343264785,2.545625194865865,0.026238510120202684,0.03465467842599832,0.027540004362809133,0.047395739990055204,2025-10-28 18:31:02.894000001,7.897814166666667
AA,7.901387777777777,1.4110400107893082,1.8630047449292597,1.484212980598551,2.552240823191138,0.02627145802996292,0.034686366503989194,0.02763382946562187,0.04751891311098749,2025-10-28 18:31:15.759000000,7.901387777777777
AA,7.904998888888888,1.4126447852303674,1.8645054885370649,1.4893113003691416,2.558931895207466,0.02630133653379943,0.034714308109049796,0.027728752566917547,0.04764349088079438,2025-10-28 18:31:28.759000000,7.904998888888888
AA,9.630171666666667,1.8201204582174777,2.16704268784654,4.277850597840331,6.0156715482297045,0.03388792512041478,0.04034709901036195,0.0796471904271147,0.11200282160174463,2025-10-28 20:14:59.381000001,9.630171666666667
AA,9.633571666666667,1.8204378358105473,2.167625952074106,4.284039546940177,6.02299955825406,0.033893834217288164,0.04035795851934661,0.07976241941798877,0.11213925820618247,2025-10-28 20:15:11.621000001,9.633571666666667
AA,9.637074166666666,1.8207514310276267,2.1681288255823135,4.290416179643727,6.030550674167039,0.033899672891968484,0.040367321273176576,0.07988114279731384,0.1122798487091238,2025-10-28 20:15:24.230000001,9.637074166666666
AA,11.362343611111111,1.7103229402498872,1.7860708740239493,7.336443539056714,9.427418871898233,0.03184365928597816,0.033253972705714945,0.13659362388860016,0.175524462332866,2025-10-28 21:58:55.199999999,11.362343611111111
AA,11.366168611111112,1.7105215373069538,1.7852635928304996,7.342985904120044,9.434225508535752,0.03184735686663478,0.03323894233532861,0.13671543295699207,0.17565119174335783,2025-10-28 21:59:08.969999999,11.366168611111112
AA,11.36933111111111,1.7106849774658281,1.7845976177619447,7.348395686921525,9.439850716014146,0.031850399878343476,0.033226542873988914,0.13681615503484498,0.1757559247070219,2025-10-28 21:59:20.354999999,11.36933111111111
AA,13.095154166666667,2.1636324112431597,2.1298734054985577,10.691588823908411,12.809963764146564,0.040283604752246495,0.039655062474372706,0.19906141917535672,0.23850239739613782,2025-10-28 23:42:53.318000001,13.095154166666667
AA,13.09843833333333,2.1639962092523155,2.1304945011990273,10.698695150738976,12.8169496073136,0.040290378127952255,0.03966662634889271,0.19919372836974447,0.23863246336461738,2025-10-28 23:43:05.140999998,13.09843833333333
AA,13.101905833333333,2.1642316175601177,2.1309453491334067,10.706199215733719,12.824327448630852,0.04029476107913084,0.0396750204642228,0.19933344285484486,0.23876982775332065,2025-10-28 23:43:17.623999998,13.101905833333333
AA,14.827390277777779,1.714677847194226,1.5920115211324797,14.052698187154691,16.02143914293138,0.03192474115051621,0.029640877325125294,0.26164025669623336,0.2982952735604428,2025-10-29 01:26:49.368000000,14.827390277777779
AA,14.830810277777777,1.7140604790275125,1.5910273872630447,14.058561329692528,16.026836335193096,0.03191324667710878,0.029622554221989287,0.26174941965541854,0.29839576122124556,2025-10-29 01:27:01.680000000,14.830810277777777
AA,14.83443888888889,1.7135382902315006,1.590118645875032,14.064780041181812,16.03255897958548,0.03190352430146156,0.029605634814280996,0.2618652027775426,0.2985023083147548,2025-10-29 01:27:14.743000000,14.83443888888889
AA,16.55985361111111,1.8336219253725339,1.5533045707442836,17.124941270223882,18.727206465583308,0.03413930227839385,0.028920211706279716,0.3188408354165683,0.34867262084496936,2025-10-29 03:10:46.235999999,16.55985361111111
AA,16.563300277777778,1.8336000082666477,1.5531776189390216,17.13126111602286,18.73253611565239,0.03413889421460897,0.028917848053230714,0.3189585015085246,0.3487718509709997,2025-10-29 03:10:58.644000000,16.563300277777778
AA,16.56672611111111,1.8335310628315133,1.5530469743031985,17.13754260595339,18.737833281666123,0.03413761055355639,0.028915415645190814,0.31907545347148364,0.34887047629242457,2025-10-29 03:11:10.976999999,16.56672611111111
AA,18.292304444444444,1.5936651128964687,1.3315562038772335,20.09449033841292,21.21513972786559,0.02967166473462053,0.024791588230817976,0.3741294049229738,0.394994223196157,2025-10-29 04:54:43.058999998,18.292304444444444
AA,18.295722777777776,1.5937420088940613,1.3312480413569823,20.09993814841858,21.219668312873537,0.029673096423274276,0.02478585070484049,0.37423083501058607,0.3950785386869026,2025-10-29 04:54:55.365000000,18.295722777777776
AA,18.299064166666664,1.593945522275341,1.3309782834231214,20.10526380026753,21.22409370043979,0.029676885538546655,0.024780828214915684,0.3743299906957276,0.3951609327953787,2025-10-29 04:55:07.394000001,18.299064166666664
