C[PPB],C_STDEV[PPB],VALVE_ID,DATE_TIME,TIME_NORM_GLOBAL[h],TREATMENT,Q[L/min],F[mg/h m2],F_STDEV[mg/h m2]
54.83430591196666,20.60227980595413,1.0,2026-01-06 09:32:09.177,0.2525491666666666,PU,1.257299594215199,0.8458323192431725,0.3177951069161616
337.1047576526667,7.3153244976031475,2.0,2026-01-06 09:47:08.529,0.5023691666666666,FH2SO4,1.2583660060847623,5.204332183413057,0.11293634352741044
2078.778481936667,8.472516587971358,3.0,2026-01-06 10:02:08.928,0.7524799999999999,STD,1.2583660060847623,32.09285395751208,0.13080144896297197
169.34894335966666,1.5387276697902614,4.0,2026-01-06 10:17:07.108,1.0019744444444445,PH2SO4,1.2604988298238888,2.618895006808229,0.02379563835065022
125.88271302866669,2.144816235020717,5.0,2026-01-06 10:32:07.316,1.2520322222222222,PAA,1.2668973010412692,1.9565937177707327,0.03333685674742769
39.41186695973333,0.2883793610618009,11.0,2026-01-06 11:02:08.196,1.7522766666666667,BACKGROUND,1.2647644773021425,0.611546967510601,0.004474731530231023
229.46696270666655,4.349932133145205,6.0,2026-01-06 11:17:08.071,2.0022419444444446,FAA,1.2583660060847623,3.5425851220848275,0.067155657943919
1192.6666011900002,12.04887210267604,7.0,2026-01-06 11:32:07.279,2.2520219444444445,FU,1.2604988298238888,18.44398048595879,0.18632965970359014
258.3555221766667,3.3465793739094103,8.0,2026-01-06 11:47:06.934,2.501926111111111,FH2SO4,1.2583660060847623,3.9885760384665865,0.05166557381527151
402.3082029773334,4.64512192111383,9.0,2026-01-06 12:02:06.134,2.7517038888888887,PU,1.2594324179543257,6.2162275715562725,0.07177366691897927
233.41356676066667,2.8300916787669848,10.0,2026-01-06 12:17:06.463,3.0017952777777777,FAA,1.2604988298238888,3.6096217217756625,0.04376592389236955
40.9118056196,0.3129360630406894,12.0,2026-01-06 12:47:05.336,3.501482222222222,BACKGROUND,1.2658308891717058,0.6353565127881692,0.004859867774790601
1178.3834437966666,9.063597366441495,17.0,2026-01-06 13:02:05.688,3.75158,FH2SO4,1.2551667704760723,18.146012878080956,0.139570999065706
1818.1726778466664,3.090805563917916,18.0,2026-01-06 13:17:05.842,4.0016227777777775,FU,1.2594324179543257,28.09332508320127,0.04775729309657794
