DATE_TIME,TIME_NORM_GLOBAL[h],T[degc],P_ATMOS[hpa],F_BC,Q[m3/s],INTERVAL,START_TIME,T_10cm[degc],Project,Experiment,REPLICATE,Plot
2025-10-28 18:07:17.497,7.501870555555556,6.0,984.9,-0.005318842125499356,0.034139420030223126,4,2025-10-28 17:51:18.089,9.7,N-Grass,CattleAcid,3,17AA
2025-10-28 18:15:16.563,7.634944444444444,6.0,984.9,0.022255111544365172,0.03362142174269256,4,2025-10-28 18:07:17.497,9.7,N-Grass,CattleAcid,3,18H2SO4
2025-10-28 18:23:17.582,7.768560833333333,6.0,984.9,0.012620920774380097,0.03436277055186325,8,2025-10-28 18:15:16.563,9.7,N-Grass,CattleAcid,1,4AA
2025-10-28 18:39:16.921,8.03504388888889,6.5,985.3,0.015036824251561892,0.03436277055186325,7,2025-10-28 18:23:17.582,9.6,N-Grass,CattleAcid,1,8H2SO4
2025-10-28 19:03:16.759,8.434998888888888,6.5,985.3,0.23574162682149305,0.033848190498164,5,2025-10-28 18:39:16.921,9.6,N-Grass,CattleAcid,1,11RAW
2025-10-28 19:11:15.835,8.568075555555556,6.5,985.3,0.05126146701526776,0.034139420030223126,4,2025-10-28 19:03:16.759,9.6,N-Grass,CattleAcid,2,12H2SO4
2025-10-28 19:19:15.759,8.701387777777777,6.5,985.3,0.282382385053599,0.033848190498164,5,2025-10-28 19:11:15.835,9.6,N-Grass,CattleAcid,2,13RAW
2025-10-28 19:27:14.135,8.83427,6.5,985.3,0.03372694545294705,0.034415112959279966,4,2025-10-28 19:19:15.759,9.6,N-Grass,CattleAcid,2,14AA
2025-10-28 19:35:14.894,8.967814166666667,6.7,985.6,0.24489953026362926,0.034375863625514924,4,2025-10-28 19:27:14.135,9.6,N-Grass,CattleAcid,3,15RAW
2025-10-28 19:51:13.696,9.234148055555554,6.7,985.6,-0.003941004238720586,0.034139420030223126,5,2025-10-28 19:35:14.894,9.6,N-Grass,CattleAcid,3,17AA
2025-10-28 19:59:13.868,9.367529166666667,6.7,985.6,0.032088544715171904,0.03362142174269256,5,2025-10-28 19:51:13.696,9.6,N-Grass,CattleAcid,3,18H2SO4
2025-10-28 20:07:14.068,9.500918055555555,6.7,985.6,0.01929846948703788,0.03436277055186325,9,2025-10-28 19:59:13.868,9.6,N-Grass,CattleAcid,1,4AA
2025-10-28 20:23:14.036,9.767575833333334,6.7,985.6,0.01836473080655477,0.03436277055186325,8,2025-10-28 20:07:14.068,9.6,N-Grass,CattleAcid,1,8H2SO4
2025-10-28 20:47:12.230,10.167074166666666,6.6,985.8,0.22457635884773644,0.033848190498164,6,2025-10-28 20:23:14.036,9.6,N-Grass,CattleAcid,1,11RAW
2025-10-28 20:55:12.336,10.300436944444444,6.6,985.8,0.047930114476649785,0.034139420030223126,5,2025-10-28 20:47:12.230,9.6,N-Grass,CattleAcid,2,12H2SO4
