station,date,time,prec,surfwet,glorad,metp,megrtp,mesotp10,mesotp30,meanrh,meanwd,meanwv,wd2,wv2,pres,netrad,heatflux
6069,01/10/2025,0,0,0,0,5.8,3,11.6,12.4,93.6,null,null,69.9,0.2,1023.1,-28.5,-11.6
6069,01/10/2025,1,0,0,0,5.3,2.5,11.5,12.4,94.5,null,null,73.2,0.2,1023,-25.4,-13.1
6069,01/10/2025,2,0,0,0.1,4.9,2.2,11.3,12.3,95.3,null,null,55.6,0.2,1022.8,-21.6,-14.2
6069,01/10/2025,3,0,0,0,5.1,3.4,11.1,12.2,96.1,null,null,83.9,0.7,1022.9,-21.5,-15.2
6069,01/10/2025,4,0,0,0.1,4.6,2.6,11,12.2,96.1,null,null,96.8,0.5,1023,-18.9,-15.6
6069,01/10/2025,5,0,0,0.1,4,1.7,10.8,12.1,96.3,null,null,156.4,0.2,1023.2,-17.8,-15.8
6069,01/10/2025,6,0,0,3.4,3.5,1.4,10.7,12.1,96.6,null,null,166.6,0.3,1023.5,-12,-16.2
6069,01/10/2025,7,0,0,56.8,4.1,2.6,10.5,12,97.1,null,null,123.8,0.1,1024,20.3,-16.7
6069,01/10/2025,8,0,0,107.2,6.6,7.7,10.4,11.9,97.7,null,null,66,0.5,1024.6,50.9,-16.8
6069,01/10/2025,9,0,0,269,9.2,10.8,10.3,11.8,97,null,null,110.7,1.3,1024.8,167.2,-15.3
6069,01/10/2025,10,0,0,399.1,11.7,14.1,10.3,11.7,84.7,null,null,143.2,2.2,1025,199.5,-11.5
6069,01/10/2025,11,0,0,347.4,12.6,14.6,10.4,11.7,74,null,null,140.1,2.3,1024.8,182.3,-6.7
6069,01/10/2025,12,0,0,272.1,12.8,13.6,10.7,11.6,70.2,null,null,149.2,2.8,1024.4,141.5,-2.7
6069,01/10/2025,13,0,0,310.9,13.2,14.4,10.9,11.6,68.2,null,null,145.2,2.4,1024.4,166.8,-0.2
6069,01/10/2025,14,0,0,403.7,14.1,15.5,11.1,11.6,60.2,null,null,142.8,2.9,1024.2,208.6,1.7
6069,01/10/2025,15,0,0,298.4,13.7,14.4,11.3,11.6,56.3,null,null,155.8,3.5,1024,92.2,3.3
6069,01/10/2025,16,0,0,186.9,13,12.8,11.5,11.7,57.6,null,null,165.2,3.2,1023.8,6.8,3.3
6069,01/10/2025,17,0,0,38.7,11.3,9.9,11.6,11.7,64,null,null,154,1.9,1023.8,-77.2,2.2
6069,01/10/2025,18,0,0,1.1,9.8,7.5,11.6,11.8,70.8,null,null,144.5,1.3,1024,-54.7,0.1
6069,01/10/2025,19,0,0,0.1,9.4,7.4,11.6,11.8,71.8,null,null,138.8,1.4,1024,-73.2,-2.4
6069,01/10/2025,20,0,0,0,8.4,5.1,11.5,11.8,74.2,null,null,135.6,1.1,1023.8,-86.1,-4.1
6069,01/10/2025,21,0,0,0.1,7,3.7,11.4,11.8,80.6,null,null,137.8,0.7,1023.7,-76.5,-6.5
6069,01/10/2025,22,0,0,0.1,6.8,3.6,11.3,11.8,81.7,null,null,158.1,0.7,1023.4,-73.5,-9.1
6069,01/10/2025,23,0,0,0,6.4,3.3,11.2,11.9,83.9,null,null,131.3,0.9,1023.3,-73.9,-11
6069,02/10/2025,0,0,0,0,6,3,11,11.8,87.2,null,null,142.6,0.9,1023.2,-63.4,-12.4
6069,02/10/2025,1,0,0,0.2,6,3.1,10.8,11.8,89,null,null,146.2,1,1023.2,-45.2,-13.5
6069,02/10/2025,2,0,0,0,6,3.7,10.7,11.8,89.7,null,null,136.6,1.5,1023,-37.4,-14.4
6069,02/10/2025,3,0,0,0,5.9,3.9,10.6,11.7,88.8,null,null,142.8,1.5,1022.8,-38,-14.8
6069,02/10/2025,4,0,0,0,5.6,3.6,10.5,11.6,89.2,null,null,145.2,1.5,1022.5,-39.7,-14.7
6069,02/10/2025,5,0,0,0.1,5.3,3,10.4,11.6,90.2,null,null,161.8,0.6,1022.3,-29.2,-14.4
6069,02/10/2025,6,0,0,3.8,5.6,3.8,10.3,11.5,91.3,null,null,147.8,1.4,1022.2,-29.9,-14.6
6069,02/10/2025,7,0,0,89.8,6.2,5.7,10.2,11.5,92.4,null,null,165.3,1,1022.5,19.7,-14.6
6069,02/10/2025,8,0,0,197.7,8,9.3,10.2,11.4,87.7,null,null,151.5,1.8,1022.9,29.1,-13.7
6069,02/10/2025,9,0,0,338.6,10.2,12.1,10.2,11.4,82.5,null,null,156.8,2.2,1022.9,130.6,-11.3
6069,02/10/2025,10,0,0,465.7,12.1,14.1,10.2,11.3,69.5,null,null,170,3.2,1022.7,235.4,-8.2
6069,02/10/2025,11,0,0,348.4,12.6,13.8,10.3,11.3,64.4,null,null,169.4,3.7,1022.1,190.7,-4.4
6069,02/10/2025,12,0,0,365.2,12.9,13.9,10.5,11.3,62.4,null,null,162.8,4.3,1021.5,197.3,-1.1
6069,02/10/2025,13,0,0,271.6,12.9,13.3,10.7,11.3,62.2,null,null,151.6,4.2,1021,138.8,1
6069,02/10/2025,14,0,0,387.9,13.3,14.3,10.9,11.3,58.9,null,null,158.4,4.4,1020.6,201.3,2
6069,02/10/2025,15,0,0,186.1,12.7,12.8,11,11.3,62.4,null,null,161.4,3.9,1020,36.4,2.7
6069,02/10/2025,16,0,0,122.7,12.2,11.6,11.2,11.4,63.9,null,null,157,3.3,1019.7,-18.1,2.5
6069,02/10/2025,17,0,0,28.8,11,9.5,11.2,11.4,69.9,null,null,146.5,1.8,1019.4,-67.2,1.2
6069,02/10/2025,18,0,0,0.6,9.5,7.7,11.2,11.4,76.3,null,null,146.4,1.9,1018.8,-85.1,-0.6
6069,02/10/2025,19,0,0,0,8.8,7.2,11.2,11.5,81.6,null,null,142.7,2.1,1018.6,-83.4,-2.5
6069,02/10/2025,20,0,0,0,8.2,7,11.2,11.5,86,null,null,146.8,2.7,1018.1,-88.9,-4.1
6069,02/10/2025,21,0,0,0,7.6,6.4,11.1,11.5,86.5,null,null,149.6,2.5,1017.8,-88.3,-5.4
6069,02/10/2025,22,0,0,0,7.2,6,11,11.5,85.4,null,null,151.2,2.6,1017.5,-85.7,-6.5
6069,02/10/2025,23,0,0,0,7.4,6.3,11,11.5,84,null,null,145,3.1,1017,-86.3,-7.4
6069,03/10/2025,0,0,0,0,7.7,6.6,10.9,11.5,83.4,null,null,146.9,3.4,1016.4,-87.3,-8.1
6069,03/10/2025,1,0,0,0,7.7,6.7,10.8,11.5,84.9,null,null,147.8,3.4,1016.1,-86.7,-8.6
6069,03/10/2025,2,0,0,0,7.8,6.8,10.7,11.5,87.3,null,null,146.2,3.4,1015.7,-86.7,-8.9
6069,03/10/2025,3,0,0,0,7.9,7.1,10.7,11.4,90.2,null,null,145.6,3.4,1015.3,-87.4,-9.1
6069,03/10/2025,4,0,0,0,8.1,7.2,10.6,11.4,90.7,null,null,144.4,3.3,1014.8,-86.8,-9.2
6069,03/10/2025,5,0,0,0,8.1,7.3,10.6,11.4,90.7,null,null,146.5,3.4,1014.5,-84.2,-9.1
6069,03/10/2025,6,0,0,5.6,8.3,7.5,10.5,11.4,89.8,null,null,144.7,3.7,1013.9,-81.5,-9
6069,03/10/2025,7,0,0,99.3,9,8.7,10.5,11.3,87,null,null,149.2,4,1013.6,-24.1,-8.9
6069,03/10/2025,8,0,0,173.8,10,10.1,10.5,11.3,82.4,null,null,150.8,4.5,1013.4,24.9,-8.2
6069,03/10/2025,9,0,0,300,11.1,11.6,10.5,11.3,76.1,null,null,152.7,4.9,1013,111.1,-6.8
6069,03/10/2025,10,0,0,425.4,12.3,13,10.5,11.3,67.9,null,null,155.4,6.1,1012.5,199.1,-5
6069,03/10/2025,11,0,0,494.9,13.1,14.2,10.6,11.2,64.1,null,null,163.9,6.7,1011.7,251.7,-2.9
6069,03/10/2025,12,0,0,484.7,13.7,14.8,10.7,11.2,59.2,null,null,158.3,6.6,1010.9,246.4,-1
6069,03/10/2025,13,0,0,363.7,13.8,14.1,10.9,11.2,57.6,null,null,165.3,7,1010.3,190.1,0.7
6069,03/10/2025,14,0,0,272.9,14,14.1,11,11.3,56.4,null,null,157.5,6.6,1009.4,135.5,1.7
6069,03/10/2025,15,0,0,183.5,13.8,13.6,11.1,11.3,56,null,null,157.8,5.8,1008.4,69.9,2.2
6069,03/10/2025,16,0,0,88.6,13.3,12.7,11.2,11.3,55.4,null,null,158.5,5.8,1007.5,2.3,2.1
6069,03/10/2025,17,0,0,25.3,12.6,11.7,11.3,11.4,57.5,null,null,157.3,5.9,1006.6,-49.3,1.2
6069,03/10/2025,18,0,0,0.6,11.7,11,11.3,11.4,64.7,null,null,146.6,6.2,1005.2,-67.9,-0.3
6069,03/10/2025,19,0,0,0,11.4,10.6,11.3,11.4,65.4,null,null,150,6.7,1004.2,-67,-1.9
6069,03/10/2025,20,0,0,0,11.6,10.8,11.2,11.5,64.2,null,null,150.3,7.3,1002.5,-59.6,-3.1
6069,03/10/2025,21,0,0,0,11.8,11.1,11.1,11.5,62.6,null,null,151,8,1000.5,-54.5,-4.1
6069,03/10/2025,22,0,0,0,11.8,11.2,11.1,11.5,62.7,null,null,151.6,8.4,998.7,-49.6,-4.7
6069,03/10/2025,23,0,0,0,11.8,11.2,11.1,11.5,63.6,null,null,155.5,8.1,996.9,-39.5,-5.1
6069,04/10/2025,0,0,0,0.5,11.3,10.6,11,11.5,67.2,null,null,155.7,8.6,994.4,-27.2,-5.3
6069,04/10/2025,1,1.3,0,2.3,9.7,9,11,11.5,81,null,null,154.5,8.5,991.8,-14.5,-5.5
6069,04/10/2025,2,0.5,0,1.3,9.3,8.7,10.9,11.5,85,null,null,157,8.7,989.4,-14.6,-5.8
6069,04/10/2025,3,0.2,0,2.7,9.1,8.6,10.9,11.4,85.2,null,null,151.8,9.4,985.9,-10.4,-6.1
6069,04/10/2025,4,4,0,0.1,8.8,8.5,10.9,11.4,91.4,null,null,155.9,9,983.7,-11.9,-6.4
6069,04/10/2025,5,6.8,0,0.4,9,8.8,10.8,11.4,94,null,null,158.8,8.3,982,-12.1,-7.3
6069,04/10/2025,6,3.7,0,1,9.3,9.1,10.7,11.4,93.8,null,null,166.7,7.7,981.2,-11.8,-8.7
6069,04/10/2025,7,2,0,4.6,9.5,9.3,10.7,11.4,94.2,null,null,171.6,6.6,980.5,-9.3,-8.7
6069,04/10/2025,8,1.2,0,18.3,9.6,9.4,10.6,11.4,93.9,null,null,172.6,6.3,979.5,-2,-8
6069,04/10/2025,9,0.1,0,50.8,9.8,9.6,10.6,11.3,94.6,null,null,168.4,5.2,978.6,19.9,-7.2
6069,04/10/2025,10,0.5,0,175.3,10.4,10.6,10.6,11.3,93.8,null,null,174.1,4.9,978.4,101.9,-6.2
6069,04/10/2025,11,0,0,131.5,10.9,10.9,10.7,11.3,92.8,null,null,176.6,3.9,978,64.3,-4.5
