Trial;Date (yymmdd);Treatment;Amount (ton/ha);replicate;DM (%);VS (% of DM);"Ammonium-N (g/L) 
Spek kit";"Ammonium-N (g/L) 
Tveskæg";Tot N (g/L);Total C (%);Total C (g/L);Total N (%);Total N (g/L);VFA (mg/L);Acetic acid (mg/L);Propionic acid (mg/L);Isobutanoic acid (mg/L);Butanoic acid (mg/L);Meth. Butyric/isoval.acid (mg/L);Pentanoic acid (mg/L);Isocaproic acid (mg/L);Hexanoic acid (mg/L);Heptanoic acid (mg/L);laboratory pH;field pH;Notes;;
trial;date;treat;amount;replicate;DM;VS;TAN;TAN.Tveskaeg;TN;TC.per;TC.macro;TN.per;TN.macro;VFA;acetic.a;prop.a;isobu.a;buta.a;meth.a;penta.a;isoca.a;hexa.a;hepta.a;pH.lab;pH.field;notes;Mean [g/L];stdev
Cattle;251028;AA;29;1;7.278527368;81.93202147;2.178121975;1.8466;3.848492;;;;;12185.82377;8865.75666;1722.925102;308.6330943;804.7555328;354.9438525;70.86741803;;30.91065574;27.03145492;6.45;6.27;;8.18;0.04
Cattle;251028;AA;29;2;7.139932188;81.78481303;2.123552124;1.915142;3.993356;;;;;12430.06101;8939.500161;1723.338505;311.7032958;815.3938103;359.0905949;72.99903537;23.06205788;29.72001608;155.253537;6.43;6.26;;;
Cattle;251028;AA;29;3;7.265234603;81.97856186;2.077562327;1.794495;3.794378;;;;;12446.35823;8897.140695;1720.109429;309.1969396;809.861373;352.98445;71.3598842;27.90860215;29.5674938;228.2293631;6.44;6.26;;;
Cattle;251028;Raw;29;1;7.195892027;81.91899711;2.069614299;1.804393;3.598541;;;;;8978.100278;5686.583859;1673.885343;304.8584416;803.8800557;354.061039;70.5609462;28.40575139;28.01790353;27.84693878;6.83;6.91;;;
Cattle;251028;Raw;29;2;7.217435181;81.76929282;2.205882353;1.727124;3.482203;;;;;9465.763346;5900.540311;1729.99223;315.0295247;825.0393967;363.4816271;72.73135283;35.66581353;30.54478976;192.7382998;6.81;6.91;;;
Cattle;251028;Raw;29;3;7.342520053;82.22561752;2.197802198;1.866835;3.691296;;;;;9531.427282;5897.560353;1730.746222;315.5265947;828.2373896;365.6790972;73.35701668;37.87615309;30.45858685;251.9858685;6.81;6.91;;;
Cattle;251028;H2SO4;29;1;7.350473858;80.23853588;2.132936508;1.838558;3.795712;;;;;8933.993037;5664.157114;1670.172654;305.1432896;791.837336;344.0683148;68.03319879;35.73551968;28.10605449;26.739556;6.55;6.25;;;
Cattle;251028;H2SO4;29;2;7.478469232;80.38077548;2.169720347;1.911024;3.922079;;;;;9201.870493;5722.010544;1705.245748;307.9260204;809.6212585;354.7156463;71.21879252;31.32916667;29.65238095;170.1509354;6.45;6.25;;;
Cattle;251028;H2SO4;29;3;7.433564985;80.51684824;2.166064982;1.90518;3.887552;;;;;9461.233533;5875.707118;1730.335334;310.2616638;826.5142367;358.8337907;72.35214408;38.65600343;30.26835334;218.3048885;6.51;6.25;;;
