Trial;Date (yymmdd);Treatment;Amount (ton/ha);replicate;DM (%);VS (% of DM);"Ammonium-N (g/L) 
Spek kit";"Ammonium-N (g/L) 
Tveskæg";Tot N (g/L);Total C (%);Total C (g/L);Total N (%);Total N (g/L);VFA (mg/L);Acetic acid (mg/L);Propionic acid (mg/L);Isobutanoic acid (mg/L);Butanoic acid (mg/L);Meth. Butyric/isoval.acid (mg/L);Pentanoic acid (mg/L);Isocaproic acid (mg/L);Hexanoic acid (mg/L);Heptanoic acid (mg/L);laboratory pH;field pH;Notes;;
Pig;251105;AA;17;1;5.914251075;77.18971301;3.607770583;2.581077;5.056275;;;;;19903.17496;10463.91435;2775.058998;905.6194397;2764.881919;942.7157046;813.0460102;50.6582343;1129.481324;57.79898132;6.03;6.02;;;
Pig;251105;AA;17;2;5.90221333;77.51588983;3.553800592;2.380607;4.677339;;;;;20010.14334;10431.81156;2782.614725;900.4940354;2747.113327;946.551165;815.294315;46.25852749;1158.331687;181.6739981;6.02;6.01;;;
Pig;251105;AA;17;3;6.049822064;77.45098039;3.829787234;2.791071;5.360386;;;;;21199.27629;11066.33483;2932.520404;949.8195772;2911.577849;1002.961857;865.3431985;52.82270221;1225.743107;192.1527574;6.02;6;;;
Pig;251105;Raw;17;1;5.898842169;77.53837072;3.673986486;2.661114;4.784458;;;;;18020.01562;8377.687905;2830.705143;925.2402857;2811.860571;971.4574286;833.8006667;53.07209524;1171.606571;44.58495238;6.52;6.53;;;
Pig;251105;Raw;17;2;5.951636591;77.59589543;3.721374046;2.786997;4.915254;;;;;18373.99614;8461.218641;2860.824242;930.1518825;2841.78595;979.3693297;844.3188246;48.4338843;1202.577043;205.3163453;6.5;6.52;;;
Pig;251105;Raw;17;3;6.027797902;77.67638549;3.632075472;2.758552;4.912364;;;;;18456.49357;8479.393923;2879.235657;928.9791778;2852.85496;977.5535299;849.4608579;52.97596068;1206.22252;229.8169794;6.52;6.51;;;
Pig;251105;H2SO4;17;1;6.018139721;75.18079259;3.615071283;2.882666;5.551491;;;;;17578.34663;8151.03391;2773.949481;903.5403979;2752.690138;946.2440311;815.4150519;50.66470588;1140.519031;44.28987889;5.96;5.91;;;
Pig;251105;H2SO4;17;2;6.011875725;75.09792949;3.668341709;2.742158;5.34949;;;;;18485.56402;8493.736481;2878.806859;937.815507;2865.008052;980.6062624;852.6987078;48.92365805;1215.255865;212.7126243;5.97;5.9;;;
Pig;251105;H2SO4;17;3;6.11196381;75.36346815;3.507404521;2.743102;5.355076;;;;;17967.96053;8239.632827;2794.950664;914.3994307;2785.88871;957.5512334;829.2911765;50.6288425;1178.684345;216.9333017;5.95;5.9;;;
Pig;251105;Machine;17;1;5.439185078;77.24512624;3.692905734;2.901366;4.971016;;;;;17644.85427;8167.046214;2792.507476;909.3730097;2750.908544;952.6899029;819.9785437;50.7076699;1156.506893;45.13601942;6.82;6.9;;;
Pig;251105;Machine;17;2;5.533461221;77.53664036;3.676470588;2.799044;4.836321;;;;;17863.18018;8227.404699;2798.082737;909.0515832;2747.900613;951.1310521;824.5270684;46.93840654;1176.757201;181.3868233;6.84;6.88;;;
Pig;251105;Machine;17;3;5.527384788;77.47085656;3.592814371;2.889197;5.242645;;;;;17722.2167;8131.303053;2771.680916;898.8629771;2728.579485;947.5147901;815.3418893;50.70562977;1163.179103;215.048855;6.84;6.88;;;
